4	9	10	24	30	31	14
2	3	7	15	27	29	16
6	12	24	25	31	33	6
10	12	17	19	20	32	7
2	3	4	12	18	24	5
12	13	14	18	21	25	11
3	8	10	16	25	31	14
10	12	16	23	24	31	11
7	10	19	20	27	32	6
2	5	7	13	15	24	3
1	8	17	25	27	33	1
5	11	16	22	27	31	9
3	8	10	17	19	20	10
4	8	9	11	14	19	1
4	5	6	11	12	17	15
8	15	18	21	24	25	7
1	2	7	8	26	31	7
1	4	7	23	24	25	13
7	10	11	19	21	32	5
13	14	17	21	25	33	6
2	8	9	17	31	33	1
2	8	16	20	32	33	2
6	10	11	14	21	29	4
3	4	10	14	29	31	6
1	5	6	13	23	27	3
3	8	18	23	30	32	15
16	19	28	29	32	33	6
9	17	19	26	31	33	9
1	4	9	15	20	26	1
4	16	21	22	23	33	2
3	17	22	24	28	32	1
1	6	14	21	26	33	1
3	7	13	14	22	30	2
9	10	14	15	18	32	10
8	10	17	20	29	30	2
5	7	8	9	15	16	5
1	16	20	21	27	33	4
4	6	13	17	20	26	4
4	8	21	30	31	33	15
1	16	18	27	30	31	10
3	5	9	18	22	28	9
4	11	16	19	20	33	14
1	13	16	17	22	33	14
1	5	14	22	25	26	14
9	10	13	16	28	30	8
1	6	27	28	30	31	5
4	9	13	17	18	28	3
3	12	16	18	19	27	8
2	4	15	26	27	28	15
5	7	15	17	22	26	10
3	5	10	14	15	27	7
1	8	12	23	30	31	7
3	12	15	19	20	30	7
3	12	16	23	31	32	6
2	8	9	11	24	31	14
1	5	13	18	22	33	12
2	4	5	17	23	28	8
2	5	7	14	16	29	8
2	7	8	9	14	27	14
8	18	19	24	30	33	4
14	16	18	19	21	31	2
1	10	13	24	29	33	10
3	11	12	27	29	30	5
2	4	9	20	28	31	8
8	15	18	21	24	30	11
1	2	5	12	22	29	6
4	8	10	13	16	33	6
4	5	10	14	15	16	2
4	11	17	22	24	31	2
1	3	5	19	23	27	9
6	12	19	21	22	29	14
9	12	14	17	25	27	13
7	11	19	20	30	32	7
3	7	9	23	25	29	11
4	5	13	14	20	23	2
2	8	10	12	19	30	7
10	12	18	22	25	33	11
5	7	11	26	27	33	11
2	4	5	23	27	29	15
2	10	14	16	24	29	2
3	10	18	27	29	33	6
5	6	7	10	24	25	12
1	17	19	24	26	32	4
3	17	23	24	27	30	2
2	3	13	24	26	29	15
8	10	12	18	19	31	8
3	12	13	17	27	28	12
3	5	6	12	13	14	10
1	3	8	9	21	33	15
5	6	14	16	31	32	2
15	16	20	28	31	32	1
1	3	10	11	18	22	6
1	4	8	13	14	30	8
6	7	8	21	24	32	15
8	15	22	26	27	32	4
2	5	17	20	28	31	7
2	9	10	17	21	31	6
2	11	22	25	27	29	10
9	14	18	21	27	32	8
3	6	10	13	23	32	16
5	6	9	24	28	30	16
1	4	7	9	13	19	6
2	5	6	10	12	17	10
1	4	9	11	23	25	1
4	7	16	26	27	28	2
6	7	12	17	31	33	12
3	13	14	17	24	26	12
4	12	13	18	25	27	10
3	4	15	23	32	33	9
8	12	13	17	24	26	4
2	3	9	11	14	18	8
16	17	18	22	28	32	10
2	6	8	10	18	21	7
5	8	9	23	24	27	13
2	9	19	20	23	30	2
4	7	10	18	28	33	14
3	26	27	29	30	33	11
2	3	6	7	11	12	15
10	12	18	25	32	33	12
7	12	16	20	30	33	16
2	13	15	19	29	31	2
1	4	9	18	23	31	12
9	14	16	18	20	24	16
1	4	11	12	27	28	16
11	13	19	20	27	31	9
13	15	27	28	29	30	2
3	5	9	12	17	26	14
7	12	19	24	29	33	10
14	16	21	23	26	28	3
7	14	19	22	23	29	4
4	5	7	14	24	25	12
6	10	12	13	14	22	10
4	11	17	26	27	33	14
4	5	7	18	22	27	9
2	3	7	23	31	32	2
2	7	9	14	15	17	14
6	9	12	19	31	33	3
4	12	22	24	26	32	13
12	16	23	26	30	33	4
15	22	24	26	28	31	7
11	13	14	20	22	33	3
3	8	10	18	30	33	16
2	7	18	23	24	25	10
3	5	21	26	30	31	11
3	5	18	20	28	30	9
12	16	18	19	30	33	2
3	8	25	26	27	29	6
2	12	18	21	26	29	7
3	6	8	11	19	20	14
1	13	18	21	31	33	10
5	8	12	22	25	27	14
13	17	27	29	30	31	9
6	9	15	24	29	31	4
18	21	23	25	29	30	5
12	15	21	22	28	32	11
